id,name,image,ingredients,steps,source
1,대박 맛집 김치찌개,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/25/d1754942db6cebf74146eff6225e620d1.jpg,"김치                                                                                                            

1/2포기 
포도씨유                                                                                                            

1큰술 
깍두기국물                                                                                                            

1/3컵 
대파                                                                                                            

 
두부                                                                                                            

 
물(멸치육수)                                                                                                            

 
참치                                                                                                            

1캔 
설탕                                                                                                            

 
고춧가루                                                                                                            

 
다진 마늘                                                                                                            

1큰술 
멸치육수                                                                                                            

 
냄비도마조리용나이프요리스푼밀폐용기구매","일단 지금알려드리는 방법은 식사전에 준비하시기 보다 시간적인 여유가 있으실때 미리 김치볶음을 만들어 두셨다가 사용하셔야 해요.|냄비에 큼직하게 썰은 김치(대략 배추 1/2 포기)를 넣고 포도씨유 1큰술을 넣고 볶아주세요. 이때 김치 국물 혹은 저같은 경우는 깍두기 국물을 1/3컵 정도 넣어 주었어요. 김치국물이 들어가면 따로 간을 하지 않아도 되거든요. 또한 이때 설탕을 조금 넣어주시면 김치가 더욱 빨리 무르게 익어요. 또한 고춧가루를 넣어주면 색도 이뻐지고 윤도나지요.|볶는 중간에 다진마늘 1큰술도 넣어주세요.|김치가 타려는듯 하면 중불에서 물 혹은 멸치육수를 1컵 정도 부어준후 가끔씩 저어가며 뚜껑을 덮고 푹~~ 익혀줍니다.                    

                                                    김치찌개 맛을 더해주는 핵심 포인트!|김치가 익으면 수분이 나오기도 하니 처음부터 너무 물이나 육수를 많이 붓지는 마셔요. 김치를 30분 정도 푹 익혀주면 밑준비 끝!!~|볶아둔 김치는 식힌후에 통에담아 냉장고에서 최소 반나절이상 숙성시켜 주세요. 국물이 자박하게 있으면 나중에 김치찌개 끓이실때 따로 간을 하지 않아도 되요.|물 혹은 멸치육수를 냄비의 3/4 지점까지 부어준뒤 끓여주세요. 이떄 볶은김치의 양이 넉넉히 들어가야 더욱 맛있는건 아시죠? 물이나 육수가 부글부글 끓으면 김치찌개 완성!
김치찌개에는 돼지고기나 참치를 넣으면 더욱 맛이 좋지요?
돼지고기를 넣으실때는 물 넣으실떄 같이 넣어 주신후
돼지고기가 익으면 완성!~
이번에는 돼지고기가 없어서
담백한 네모모양의 델큐브 참치를 사용했어요.|두부와 대파도 조금 준비해 주셨다가 김치찌개가 보글보글 끓으면 두부와 대파를 살짝 얹으시고 불을 끄신후 식탁으로~",https://www.10000recipe.com/recipe/3686217
2,백종원 김치찌개 레시피 백종원 7분김치찌개,https://recipe1.ezmember.co.kr/cache/recipe/2015/10/06/298e976b277b6d58b92c476d4d2dae7d1.jpg,"쌀뜨물                                                                                종이컵 5컵


700ml 
대파                                                                                                            

1/2개 
청양고추                                                                                                            

1개 
돼지고기목살                                                                                또는삼겹살


 
김치                                                                                                            

3줌 
국간장                                                                                                            

1T 
고춧가루                                                                                                            

1/2T 
다진 마늘                                                                                                            

1/2T 
새우젓                                                                                                            

1/2T 
된장                                                                                                            

1/2T 
인덱스도마냄비뚝배기요리스푼구매","쌀뜨물을 이용해서 김치찌개를 만들거예요^^ 쌀뜨물은 첫번째 물이 아닌 2번째난 3번째를 사용하셔야 좋아요^^ 파는1/2를 준비해주세요.쌀뜨물을 이용하면 쌀의 전분기가 재료들을 어우러지게 해서 감칠맛이 난다고 합니다.|돼지고기 목살을 한줌을 준비해 주신다음 먹기 좋은 크기로 잘라주세요 김치는 3줌을 준비합니다. 파는 송송 썰어주세요고기와 김치의 비율은 1:3의 비율이랍니다.|김치찌개를 끓일 냄비에 쌀뜨물700ml(종이컵5컵)을 넣어주세요.|돼지고기목살(or삼겹살)을 한줌 넣어주세요.백종원님표 레시에서는 돼지기름이 포인트라서 물과 고기를 함께 끓여주는게 포인트랍니다.|된장찌개를 1/2스푼 넣어줍니다. 된장을 넣어주면 돼지고기의 잡냄새 제거와 깊은맛을 내준다고 한답니다.돼지고기를 끓이면서 올라오는 불순물과 거품은 모두 건져주세요|김치찌개의 제일 중요포인트 김치를 넣어주세요 아무리 좋은재료들이라도, 김치자체가 맛없으면 김치찌개의 맛을 좌지우지 하죠^^|김치를 넣고 끓어 오르기 시작하면 다진마늘 한스푼을 넣어줍니다.|그리고 고추가루를 한스푼 넣어주세요 백종원님은 고운고추가루 1/2스푼, 굵은고추가루 1/2 스푼을 넣었는데 그냥 저는 집에 있는 고추가루 한스푼을 넣었습니다.|그리고 국간장을 한스푼 넣어주세요.|마지막으로 새우젓으로 간을 해주세요 백종원님은 한스푼을 넣으라고 했는데, 전 간을 보니 간간해서 반스푼만 넣어주었습니다.|마지막으로 청양고추와 대파를 넣고 한소큼 끓이면 백종원표 김치찌개 완성! 생각보다 만드는 법도 어렵지 않아요^^",https://www.10000recipe.com/recipe/6835685
3,(고기없는)깔끔하고 시원한 국물의 김치찌개 만들기,https://recipe1.ezmember.co.kr/cache/recipe/2021/05/03/9854d8e57cca177b94f339dd2d28a6cb1.jpg,"김치                                                                                                            

1/4포기 
두부                                                                                                            

1/2모 
대파                                                                                                            

1개 
고추장                                                                                                            

1수저 
간장                                                                                                            

1수저 
설탕                                                                                                            

1수저 
참기름                                                                                                            

3수저 
다진마늘                                                                                                            

1/2수저 
물                                                                                or 육수


800ml 
청양고추                                                                                                            

약간 
고춧가루                                                                                                            

약간 
구매","김치는 먹기좋은 크기로 썰어주세요.|두부는 도톰하게 썰어주시고 대파는 어슷 썰어주세요. 청양고추도 송송 썰어줍니다. 매콤한게 싫으시면 안넣으셔도 됩니다.|참기름, 고추장, 간장, 설탕을 냄비에 넣고 섞어줍니다.|섞은 양념을 약불에서 저으며 끓여주세요.약불|양념이 바글바글 끓어오르면 썰어놓았던 김치를 넣고 중불에서 볶아주세요.중불|수분이 날아갈때까지 잘 저으며 볶아주세요.중불|수분이 없어지고 김치가 다 볶아진 모습입니다.|볶아진 김치에 집에서 사용하시는 육수 또는 물 800ml 넣어주시고 강불로 끓여줍니다.강불|팔팔 끓기시작하면 다진마늘을 넣어주세요. 색이 충분히 빨갛지 않으시면 고춧가루도 넣어주세요.강불|찌게가 다시 끓어오르면 썰어두었던 두부, 대파, 청양고추를 넣어주세요.강불|중불에서 잘 저으며 두부에 간이 베일 때까지 끓이시면 됩니다.중불|5분 더 끓이고 불을 꺼주세요. 완성입니다!",https://www.10000recipe.com/recipe/6957741
4,"매콤 된장찌개, 채소와 두부만 넣은 초간단 초스피드 된장찌개",https://recipe1.ezmember.co.kr/cache/recipe/2016/10/27/462f2e2c70a260e044c4450bc18e6f651.jpg,"느타리버섯                                                                                                            

1줌 
양파                                                                                                            

1/2개 
애호박                                                                                                            

1/4개 
청양고추                                                                                                            

2개 
두부                                                                                                            

1/4모 
물                                                                                                            

1.5종이컵 
된장                                                                                                            

2T 
진간장                                                                                                            

1T 
고추가루                                                                                                            

1.5T 
다진마늘                                                                                                            

0.5T 
설탕                                                                                                            

0.5티스푼 
소금                                                                                                            

간맞추기 
뚝배기나무도마요리나이프구매","물1.5종이컵에 된장,고추가루,다진마늘,설탕,간장을 한데넣고 한소끔 끓여줍니다.|그사이 양파,버섯,애호박,청양고추,두부는 적당한 크기로 썰어줍니다.|한소끔 끓은 된장물에 양파,버섯,애호박,청양고추,두부를 넣어 줍니다.|애호박이 익을때까지 끓여주어 간을보아 부족한간은 소금으로 해주어 완성. 저는 부족한간이 없어 소금은 넣지 않았습니다.",https://www.10000recipe.com/recipe/6859263
5,[간단 자취요리] 꿀팁공유 고깃집 밥도둑! 고깃집 된장찌개 만들기,https://recipe1.ezmember.co.kr/cache/recipe/2016/12/26/d8a415c85cb06cf50a0bc2a80cdaa67d1.jpg,"두부                                                                                                            

1/2모 
된장                                                                                                            

3T 
쌈장                                                                                                            

3T 
고춧가루                                                                                                            

2T 
물                                                                                                            

400ml 
대파                                                                                생략 가능


적당량 
버섯                                                                                추가 무관


적당량 
감자                                                                                추가 무관


적당량 
도마조리용나이프뚝배기요리스푼구매","재료를 준비합니다.두부, 쌀뜨물, 다시마, 양파, 애호박, 고춧가루, 쌈장, 된장|우선 양파를 작은 큐브모양으로 썰어줍니다.|애호박도 같은 크기로 썰어주세요!버섯이나 다른 재료를 더 추가하셔도 좋아요.|냄비에 썰어둔 호박, 양파, 다시마를 넣어줍니다. 쌀뜨물도 넣어주세요.|물이 끓으면 다시마는 건져서 버려줍시다.|거품은 미관상 살짝 걷어주시면 좋아요.|야채가 거의 익으면 양념들을 모두 넣어줍니다.양념 재료 : 된장 3T, 쌈장 3T, 고춧가루 2T|마지막에 두부를 넣어줍니다.|두부가 위로 떠오르면 완성!",https://www.10000recipe.com/recipe/6863103
6,【고깃집 된장찌개 만드는 방법】,https://recipe1.ezmember.co.kr/cache/recipe/2017/04/03/af672abe3054185420dda8c0c0f826561.jpg,"된장                                                                                                            

2스푼 
쌈장                                                                                                            

2스푼 
두부                                                                                                            

1/2모 
양파                                                                                                            

1/3개 
대파                                                                                                            

1줌 
땡초                                                                                                            

4개 
호박                                                                                                            

1/2줌 
다진마늘                                                                                                            

1스푼 
고춧가루                                                                                                            

1스푼 
대패삼겹살                                                                                                            

9개 
구매","양파 1/3개, 호박소량,두부반모, 땡초4개,대파한줌,대패삼겹살9개(생략가능)를 썰어 준비해주시구요~
(2인분기준 제가 넣은 만큼 적긴 했지만 그냥 취향에 따라서 양조절 하시믄 되용^~^)|고깃집 된장맛의 비법은 요 쌈장~!!이거는 보여 드릴려고 찍은거에요~ 된장이랑 쌈장이랑 1대1로 넣어 주세요~ 시판된장 일경우는 쌈장 비율을 좀 줄여 주세요 ^~^|뚝배기가 자고로 최고지만 양조절 하기 힘들죠~(흘러넘치니ㅠ)뚝배기에 끓이실때는 물은 반만 넣어 주셔요~ 국물이 작다 싶으셔도 다 때려(?)넣고 보면 흘러넘치지 않을 정도로 채워져 있어용ㅎㅎ 고춧가루 한스푼 넣어 주시구요~
(집집마다 된장의 염도가 틀리기 때문에 저는 두스푼씩 넣었지만 잘모르시겠으면 간을 쪼금 진하다 싶게 해주세요~ 두부랑 야채가 들어 가야하니^^)|두부 넣어주시고 끓어 오르면 대패삼겹을 넣어주세요~ 대패는 생략가능 합니다~근데 넣으시면 차돌박이 된장찌개랑 맛이 비슷해져요^^
*대패 대신 멸치 육수를 사용 하셔도 되시구요~그냥 물을 넣으셔도 맛있어요^_^|마늘 한스푼 넣어 주시구요~|양파랑 호박도 넣어 주시고~|땡초4개를 넣어 주세요~ 고깃집에서 파는 된장맛의 또하나 팁은 고추가 넉넉하게 들어가야 비슷해지는거 같아요~매운거 못드시면 풋고추라도 넣어 주셔요^^(맛차이 있음요^^;)|마지막으로 대파 한줌 넣어서 뽀글뽀글 끓여주시면 끝이에요^^",https://www.10000recipe.com/recipe/6867859
7,탱글탱글 부드러운 계란찜,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/18/11d72b0a0935a446596d281ad924606f1.jpg,"계란                                                                                                            

1개 
물                                                                                                            

 
구매",일단 계란과 동일양의 물을 준비합니다. 물대신 우유를 넣으면 더 부드럽다는데~전 비리더라고요. 신랑도 우유보단 물 넣은것이 더 맛나대요. 우유안넣어도 입에 넣으면 스르륵 녹듯이 부드러우니까 전 안넣는것을 더 강추.|물과 계란(같은 비율 1:1)을 합쳐지도록 져어주세요. 소금 살짝 쳐주세요. 대충 섞이면되요. 팔아프게 안저어도 되요. 소금은 계란물 살짝 찍어 먹어봐서 살짝 짭짤할정도로. 저는 티스푼의 1/2정도 넣어요. 계란은 왕란이구요.|거름망에 거른다 거름망에 거르면 완전 부드러운 찜을 할수있어요. 진짜 푸딩같아요.|거름망 거르는것 3회해주기. 이렇게 알끈같은거가 다 분리되니 식감이 살지요.|물에 중탕해주기. 강불(뚜껑 덮지 마세요) 처음부터 같이 끓이는거예요. 물양은 컵이 반쯤잠길 정도면 되요.|물이 보글 보글 끓으면 불을 꺼주세요.|불을 끈 냄비에 뚜껑 덮고 7분기다리기 뚜껑을 덮고 오로지 잔열에 의해 서서히 익히는거예요. 딱 7분만 기다리면 완성된답니다.,https://www.10000recipe.com/recipe/6778614
8,[아이반찬] 말캉 말캉 푸딩같은 계란찜,https://recipe1.ezmember.co.kr/cache/recipe/2019/12/07/161cdebb8cfabb6de511a742d634b0381.jpg,"달걀                                                                                                            

2개 
물                                                                                                            

200ml 
소금                                                                                                            

1작은술 
맛술                                                                                                            

1작은술 
구매","큰 볼에 달걀 2개를 깨 넣고 물,소금, 맛술을 넣고 잘 섞어주세요달걀 2개, 물 200ml, 소금 1작은술, 맛술 1작은술달걀:물=1:2|섞은 계란물은 체에 걸러주세요체체에 걸러야 탱글하고 부드러운 식감이돼요|적당한 용기에 계란물을 담아주세요거품이 안나도록 주의해주세요|거품이 생겼다면 숟가락으로 떠서 버려주세요거품을 꼭 제거해야하는건 아니지만 이쁜 모양과 부드러운 식감을 위해 제거합니다|뚜껑을 닫거나 랩으로 감싼 후 구멍 1개를 뚫어주세요|물을 채운 냄비에 준비된 계란물을 넣습니다 뚜껑을 닫고 끓을때까지 쎈불 끓기 시작하면 약한불을 줄입니다 (총 시간 12분)끓기전까지 쎈불, 끓기시작하면 약불|12분후면 탱글하고 부드러운 계란찜 완성입니다물이 들어가지 않도록 주의해주세요
체반이 있으면 올리고 쪄주셔도 됩니다",https://www.10000recipe.com/recipe/6923187
9,전자레인지 간단 계란찜 성공하기,https://recipe1.ezmember.co.kr/cache/recipe/2019/02/27/fb9f822b0cb87e11b5c57a38e7696c311.jpg,"계란                                                                                                            

3개 
새우젓 국물                                                                                                            

1스푼 
소금                                                                                                            

약간 
물                                                                                계란 양의 1.5배


 
구매",재료 준비하고 물은 계란을 컵에 넣고 물의 양 1.5배로 맞추면 됩니다|볼에 달걀 3개를 넣고|계란의 1.5배의 물을 넣어주세요 여기에 새우젓 국물 1스푼과 소금 한꼬집 정도 넣어주세요|핸드 믹서기로 풀어주고|전자레인지 자동조리 기능 1번 (5분 30초)를 눌러줍니다전자레인지|부들부들 부드러워 술술 넘어가는 계란찜 완성입니다,https://www.10000recipe.com/recipe/6907399
10,달콤하고 짭조름한 감자조림,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/07/838fa3888146674a694a877d6d4eda8c1.jpg,"감자                                                                                                            

3개 
당근                                                                                                            

1/2개 
양파                                                                                                            

1개 
통마늘                                                                                                            

5개 
검은깨                                                                                                            

조금 
통깨                                                                                                            

조금 
진간장                                                                                                            

5T 
설탕                                                                                                            

3T 
올리고당                                                                                                            

1T 
물                                                                                                            

2종이컵 
참기름                                                                                                            

1T 
구매",감자를 먹기 좋은 크기로 썰어 올리브유 두른팬에 잘볶아주세요.|감자가 어느정도 익으면 당근도 넣고 볶아주세요.|그리고 준비한 양념장과 물 두컵을 넣고 15분정도 약불로 조려주세요.|그리고 조리기 시작하며 양파를 넣어주세요. 너무 일찍 넣으면 흐트러지네요~|마지막으로 통마늘을 넣어 주세요. 다진마늘은 웬지 텁텁해보이고 해서 통마늘로 넣어주니 몸에 좋은 마늘도 함께 즐길수 있고 조림장이 더 깔끔하고 좋아요.,https://www.10000recipe.com/recipe/6829975
